Time,Time Code,Country Name,Country Code,Adequacy of social insurance programs (% of total welfare of beneficiary households) [per_si_allsi.adq_pop_tot],Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD],"Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot],CPIA gender equality rating (1=low to 6=high) [IQ.CPA.GNDR.XQ],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Literacy rate, youth (ages 15-24), gender parity index (GPI) [SE.ADT.1524.LT.FM.ZS]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","School enrollment, tertiary (gross), gender parity index (GPI) [SE.ENR.TERT.FM.ZS]"
1990,YR1990,Costa Rica,CRI,..,5335.23260785313,..,..,..,3.205,9810.55078883924,3.8,76.63,..,16.9,0.1,0.994769990444183,..
1990,YR1990,Cote d'Ivoire,CIV,..,..,..,..,..,6.73,4351.47678201907,..,52.603,..,153.4,4,..,..
1990,YR1990,Croatia,HRV,..,..,..,..,..,1.63,..,..,72.1704878048781,..,12.9,0.1,..,..
1990,YR1990,Cuba,CUB,..,4727.33270106292,..,..,..,1.804,..,..,74.039,..,13.6,0.1,1.04846000671387,1.30165004730225
1990,YR1990,Curacao,CUW,..,..,..,..,..,2.304,..,..,72.2503902439024,..,..,..,..,..
1990,YR1990,Cyprus,CYP,..,15214.775390625,..,..,..,2.405,25232.025390625,..,73.539,..,11.3,0.1,1.01095998287201,..
1990,YR1990,Czechia,CZE,..,..,..,..,..,1.9,23585.1739009844,..,71.3839024390244,..,12.1,..,0.941680014133453,0.787460029125214
1990,YR1990,Denmark,DNK,..,30158.3967897493,..,..,..,1.67,39027.9787365148,..,74.8053658536585,..,8.9,0.1,1.01412999629974,1.10514998435974
1990,YR1990,Djibouti,DJI,..,..,..,..,..,5.982,..,..,55.498,..,117.8,0.1,..,..
1990,YR1990,Dominica,DMA,..,..,..,..,..,2.96,7855.8210423106,..,69.852,..,16.4,..,1.01845002174377,..
1990,YR1990,Dominican Republic,DOM,..,2415.01777929918,..,..,..,3.411,6207.11211279231,..,67.11,..,59.6,0.4,..,..
1990,YR1990,Ecuador,ECU,..,3032.24198131947,..,..,..,3.744,8120.00116107894,..,69.348,0.992309987545013,54.1,0.1,..,..
1990,YR1990,"Egypt, Arab Rep.",EGY,..,1489.20882036676,..,..,..,4.484,6291.70540544353,8.7,64.146,..,85.7,0.1,0.81632000207901,0.555360019207001
1990,YR1990,El Salvador,SLV,..,2244.74114632365,..,..,..,3.947,5190.03775740172,..,62.55,..,60,0.1,..,..
1990,YR1990,Equatorial Guinea,GNQ,..,..,..,..,..,5.987,936.419750712983,..,50.86,..,178.5,0.8,..,..
1990,YR1990,Eritrea,ERI,..,..,..,..,..,6.338,..,..,49.769,..,153.1,0.8,..,..
1990,YR1990,Estonia,EST,..,..,..,..,..,2.05,..,..,69.4756097560976,..,17.7,..,..,..
1990,YR1990,Eswatini,SWZ,..,1878.86392631119,..,..,..,5.25,4909.26630206767,..,63.072,..,68.3,1.1,..,0.700070023536682
1990,YR1990,Ethiopia,ETH,..,..,4.8,..,..,7.238,767.170418557348,..,44.557,..,200.8,1.7,..,0.218119993805885
1990,YR1990,Faroe Islands,FRO,..,..,..,..,..,2.798,..,..,76.1146341463415,..,..,..,..,..
1990,YR1990,Fiji,FJI,..,..,..,..,..,3.414,7889.87857725648,..,65.508,..,29.1,0.1,..,..
1990,YR1990,Finland,FIN,..,26025.7560938134,77.4,..,..,1.78,32939.3832880618,..,74.8131707317073,..,6.7,..,1.08712005615234,1.09744000434875
1990,YR1990,French Polynesia,PYF,..,..,..,..,..,3.437,..,..,73.983,..,..,..,1.10220003128052,..
1990,YR1990,Gabon,GAB,..,2654.0361644979,..,..,..,5.459,17559.0061141964,..,60.311,..,92.4,1.2,..,0.425850003957748
1990,YR1990,"Gambia, The",GMB,..,..,11.8,..,..,6.218,2080.15808488147,..,51.319,..,166.5,0.1,..,..
1990,YR1990,Georgia,GEO,..,..,..,..,..,2.306,11135.4628892798,..,68.389,..,47.9,0.1,..,..
1990,YR1990,Ghana,GHA,..,..,..,..,..,5.712,2299.63879373958,..,55.62,..,127.7,1.5,0.779609978199005,..
1990,YR1990,Gibraltar,GIB,..,..,..,..,..,2.443,..,..,77.072,..,..,..,..,..
1990,YR1990,Greece,GRC,..,..,..,..,..,1.39,24262.7373250742,..,76.9390243902439,..,10.4,0.1,0.986180007457733,1.0304399728775
1990,YR1990,Greenland,GRL,..,..,..,..,..,2.444,..,..,65.0682926829268,..,..,..,..,..
1990,YR1990,Grenada,GRD,..,..,54.3,..,..,3.489,8571.96740286013,..,70.683,..,22.3,..,..,..
1990,YR1990,Guam,GUM,..,..,..,..,..,3.048,..,..,72.473,0.999480009078979,..,..,..,..
1990,YR1990,Guatemala,GTM,..,2499.26051061899,..,..,..,5.48,5561.07068412655,..,62.473,..,80.4,0.1,..,..
