"time","country","country_code","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
1990,"Ecuador","ECU",NA,3032.24198131947,NA,NA,NA,3.744,8120.00116107894,NA,69.348,0.992309987545013,54.1,0.1,NA,NA
1990,"Egypt, Arab Rep.","EGY",NA,1489.20882036676,NA,NA,NA,4.484,6291.70540544353,8.7,64.146,NA,85.7,0.1,0.81632000207901,0.555360019207001
1990,"El Salvador","SLV",NA,2244.74114632365,NA,NA,NA,3.947,5190.03775740172,NA,62.55,NA,60,0.1,NA,NA
1990,"Equatorial Guinea","GNQ",NA,NA,NA,NA,NA,5.987,936.419750712983,NA,50.86,NA,178.5,0.8,NA,NA
1990,"Eritrea","ERI",NA,NA,NA,NA,NA,6.338,NA,NA,49.769,NA,153.1,0.8,NA,NA
1990,"Estonia","EST",NA,NA,NA,NA,NA,2.05,NA,NA,69.4756097560976,NA,17.7,NA,NA,NA
1990,"Eswatini","SWZ",NA,1878.86392631119,NA,NA,NA,5.25,4909.26630206767,NA,63.072,NA,68.3,1.1,NA,0.700070023536682
1990,"Ethiopia","ETH",NA,NA,4.8,NA,NA,7.238,767.170418557348,NA,44.557,NA,200.8,1.7,NA,0.218119993805885
1990,"Faroe Islands","FRO",NA,NA,NA,NA,NA,2.798,NA,NA,76.1146341463415,NA,NA,NA,NA,NA
1990,"Fiji","FJI",NA,NA,NA,NA,NA,3.414,7889.87857725648,NA,65.508,NA,29.1,0.1,NA,NA
1990,"Finland","FIN",NA,26025.7560938134,77.4,NA,NA,1.78,32939.3832880618,NA,74.8131707317073,NA,6.7,NA,1.08712005615234,1.09744000434875
1990,"French Polynesia","PYF",NA,NA,NA,NA,NA,3.437,NA,NA,73.983,NA,NA,NA,1.10220003128052,NA
1990,"Gabon","GAB",NA,2654.0361644979,NA,NA,NA,5.459,17559.0061141964,NA,60.311,NA,92.4,1.2,NA,0.425850003957748
1990,"Gambia, The","GMB",NA,NA,11.8,NA,NA,6.218,2080.15808488147,NA,51.319,NA,166.5,0.1,NA,NA
1990,"Georgia","GEO",NA,NA,NA,NA,NA,2.306,11135.4628892798,NA,68.389,NA,47.9,0.1,NA,NA
1990,"Ghana","GHA",NA,NA,NA,NA,NA,5.712,2299.63879373958,NA,55.62,NA,127.7,1.5,0.779609978199005,NA
1990,"Gibraltar","GIB",NA,NA,NA,NA,NA,2.443,NA,NA,77.072,NA,NA,NA,NA,NA
1990,"Greece","GRC",NA,NA,NA,NA,NA,1.39,24262.7373250742,NA,76.9390243902439,NA,10.4,0.1,0.986180007457733,1.0304399728775
1990,"Greenland","GRL",NA,NA,NA,NA,NA,2.444,NA,NA,65.0682926829268,NA,NA,NA,NA,NA
