"Country Name","Country Code","DFE","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
"Bangladesh","BGD",4.584694259,49.4523271463215,666.480194646672,50.4857142857143,1.64764635332953,4,3.30765,2312.82766888677,8.95,63.1549,0.956809982657432,92.77,0.1,1.01200333237648,0.482432503253222
"Bulgaria","BGR",0.00855316,36.3815610057999,3708.84144041388,70.95,47.715361911724,NA,1.378,12761.98029829,6.475,71.8083292682927,0.99796998500824,16.47,0.1,0.982267507910728,1.24870999455452
"Bosnia and Herzegovina","BIH",0.493228499,16.6869822915574,2815.71452345201,41.6,37.8104979583663,4.4,1.45695,6849.04986478895,7.9,71.95265,0.997709989547728,13.93,NA,NA,1.23553998470307
"Belarus","BLR",0.021958552,53.0880442403436,2050.07592518737,61.5,41.9851827458674,NA,1.428,9512.49357373855,8.525,69.1518292682927,1.00059002637863,12.155,0.11,0.987896660963693,1.24398732980092
"Belize","BLZ",0.806085589,25.1162342390061,4944.3868982201,51.5,28.212841752023,NA,3.62725,8402.36927241939,3.08333333333333,69.72275,1.01672500371933,25.84,0.955,0.991469231935648,1.36394556363424
"Bolivia","BOL",1.297429164,34.8275625130396,1740.74237417649,54.0666666666667,8.19722056649565,3.9,4.0464,5283.24877385052,2.68461538461538,61.689,0.982600976120342,79.74,0.24,0.97735333442688,NA
"Brazil","BRA",0.482451028,47.1030944445602,5399.55456503353,78.65,29.0238543217875,NA,2.30215,11707.6169294492,2.65882352941176,69.57725,1.02002198696136,38.03,0.305,1.03395284925188,1.12035856928144
"Bhutan","BTN",0.013501103,NA,993.916319767263,30.7,1.43014904016577,4.1,3.7634,4653.1094914445,6.6,62.25785,0.849110007286072,81.62,0.17,0.926557779312134,0.618723342816035
"Botswana","BWA",0.740418784,NA,2881.38307352543,53.7666666666667,NA,NA,3.5047,11226.1493480415,2.7,54.59255,1.0527999997139,65.715,21.035,1.02282353008495,0.812302853379931
"Central African Republic","CAF",0.182498508,NA,541.615391720849,20.5666666666667,NA,2.5,5.9219,1046.20126738892,2.65,47.07705,0.675249993801117,162.395,6.545,0.641477990150452,0.248882502317428
"Canada","CAN",0.010743238,NA,28849.1855493798,77.35,NA,NA,1.6285,39676.4997615232,7.175,79.0655487804878,NA,6.6,NA,0.993415335814158,1.21428429228919
"Switzerland","CHE",0.003887884,NA,60552.6782623725,82,NA,NA,1.4765,58363.7676741962,7.64285714285714,79.7335853658537,NA,5.92,0.23,0.966996845446135,0.736192110337709
"Chile","CHL",0.260470805,26.3932594341344,5905.133261263,64.2,36.5679585019403,NA,2.1011,15353.1084012125,3.95555555555556,76.1651,1.00424164533615,11.875,0.195,0.993584005037944,0.931798752397299
"China","CHN",7.950971475,NA,2146.41285544396,85.1,NA,NA,1.67725,3841.68338286145,6.7,71.7682,0.968034982681274,36.745,NA,0.930053853071653,0.902566246688366
"Cote d'Ivoire","CIV",0.000757404,23.3604405688595,918.758738902027,13.6666666666667,14.3430181485974,2.5,5.8507,3862.14849980954,6.04,51.87105,0.734144985675812,139.605,5.795,0.69038999080658,0.411795705556869
"Cameroon","CMR",0.072372205,29.8812246390303,866.912832312157,23.16,2.80466786947192,3.2,5.70245,3049.32211508126,6.03333333333333,53.96715,0.859801073869069,136.79,3.625,0.837203126400709,0.703471250832081
"Congo, Dem. Rep.","COD",0.017890962,16.9666033052154,189.389826087182,19.9,1.51235605503343,2.9,6.6632,942.32873778946,5.7,51.65155,0.741825014352798,157.805,1.765,0.71804428100586,0.336316674947739
"Congo, Rep.","COG",0.262896437,62.8912866562653,415.098151382747,44.3,8.91479680965519,3,4.8657,4618.11191483706,4.9,55.2976,0.799350023269653,96.545,4.175,0.880140006542206,0.238101113173697
"Colombia","COL",0.657133754,NA,3337.32774376709,73.35,NA,NA,2.58615,9641.89305410604,3.00833333333333,71.3484,1.0108950138092,26.235,0.31,1.04669931729635,1.05519334077835
"Comoros","COM",0.022191159,13.2289701598076,1031.6005862028,23.4,1.8803121284515,3,5.47125,2813.73725429522,4,58.61375,0.92383998632431,98.545,0.1,0.837160006165504,0.54379998644193
"Cabo Verde","CPV",0.009841224,40.6207280805928,2398.82774600083,57.1,6.00064551806937,4.5,3.8038,3948.16602471775,4.6,68.64525,0.988220006227491,42.265,0.595,1.01665635542436,1.1517119884491
"Costa Rica","CRI",0.701045626,40.1348988773731,6891.5566534446,77.5,15.8902775691588,NA,2.4803,12649.6711401972,3.95,77.4898,1.00857996940613,13.37,0.18,1.00502579463156,1.21586000919342
"Cuba","CUB",0.727438086,NA,3900.62889751888,73.3,NA,NA,1.55295,NA,NA,75.8291,0.999960005283356,9.37,0.18,1.01102052864276,1.32075549960136
